,names,scores,logfoldchanges,pvals,pvals_adj
0,FGF14,106.48465,5.854511,0.0,0.0
1,ZBTB16,83.43835,4.2968454,0.0,0.0
2,PID1,73.87633,4.000327,0.0,0.0
3,PDZRN4,73.76393,4.713632,0.0,0.0
4,CELF2,71.84599,3.5874925,0.0,0.0
5,LAMA2,70.49046,3.9712744,0.0,0.0
6,LINC02147,69.598236,5.644195,0.0,0.0
7,TGFBR3,68.13625,3.8108509,0.0,0.0
8,LINC01239,64.05537,4.221158,0.0,0.0
9,FKBP5,61.840416,3.109644,0.0,0.0
10,EBF1,61.711994,3.419632,0.0,0.0
11,SCN7A,58.781506,4.8848906,0.0,0.0
12,PIK3R1,58.6728,3.1276128,0.0,0.0
13,DCLK1,58.355865,3.178731,0.0,0.0
14,AL031599.1,58.152332,4.998789,0.0,0.0
15,ABLIM1,57.076336,3.1643047,0.0,0.0
16,ABI3BP,53.310196,3.1342673,0.0,0.0
17,CREB5,50.879517,3.2062087,0.0,0.0
18,FOXP2,50.27529,2.8039525,0.0,0.0
19,IL16,49.424786,3.1157255,0.0,0.0
20,UAP1,49.248898,3.207892,0.0,0.0
21,MAMDC2,49.187572,3.213231,0.0,0.0
22,TMEM132C,49.013016,4.214306,0.0,0.0
23,NLGN1,48.98502,2.955946,0.0,0.0
24,NFIA,47.127586,2.33826,0.0,0.0
25,UST,46.222965,2.4997969,0.0,0.0
26,NEGR1,45.896164,2.7675653,0.0,0.0
27,VIT,45.729176,4.6441965,0.0,0.0
28,GFRA1,45.674458,3.9914682,0.0,0.0
29,ABCA6,44.561764,2.410453,0.0,0.0
30,ARHGAP10,44.51751,2.3201876,0.0,0.0
31,C1orf21,44.484753,2.4854226,0.0,0.0
32,ANK2,44.43354,2.6779826,0.0,0.0
33,TACC1,44.145756,2.3127537,0.0,0.0
34,GALNT15,43.49199,3.0220127,0.0,0.0
35,ELN,43.24965,2.8106644,0.0,0.0
36,TNXB,42.93155,2.8161936,0.0,0.0
37,FMNL2,42.07932,2.380441,0.0,0.0
38,ZNF385B,41.35703,3.0205178,0.0,0.0
39,CARMIL1,40.41669,2.1452174,7.565414300163533e-305,3.1810342010334663e-302
40,ABCA10,39.850475,2.4380143,2.237036674534987e-302,8.883521194208937e-300
41,NOVA1,39.514675,2.5012867,3.2438130101977e-303,1.33769858058999e-300
42,AOX1,39.220947,2.615787,4.440090161444132e-303,1.7964772343775088e-300
43,MIR99AHG,38.95018,2.1520567,5.192469693976044e-273,1.6870806078427618e-270
44,SAMHD1,37.95582,2.366467,7.554176874123674e-281,2.7456232015035266e-278
45,EPHA6,37.89355,3.4576342,3.288063546521711e-294,1.2819860853020284e-291
46,SLC19A2,37.66154,2.8602347,5.665530705723716e-288,2.1314322886585853e-285
47,DSCAML1,37.625824,3.4841254,1.458707392410946e-288,5.585807379082201e-286
48,HIF3A,37.11879,2.9380512,2.2226546431797123e-276,7.813541994810779e-274
49,SEMA3E,36.919235,4.2248898,1.1025138434167486e-281,4.076259803142889e-279
50,SYNE1,36.431553,1.751419,3.248458501621847e-250,9.674992237330401e-248
51,ADAMTSL1,35.298836,2.480898,1.322789410339333e-237,3.5906197614324876e-235
