,names,scores,logfoldchanges,pvals,pvals_adj
0,ITGA9,29.732254,5.0603848,1.5325485368577029e-62,1.1907235805933544e-60
1,NR1H4,29.563623,9.128346,1.2980837692073423e-61,9.732905016392396e-60
2,DMD,29.371864,4.279981,1.6860618864766243e-62,1.305267548505586e-60
3,ANK3,29.10457,5.707763,3.1606657822674634e-61,2.3533790637133153e-59
4,CCBE1,26.274145,5.055256,4.410782197582219e-56,2.928322397676567e-54
5,LIFR,25.916851,4.9079847,2.3708099877806993e-55,1.5405954356960399e-53
6,RBMS3,25.387657,1.9431559,4.5106921625385953e-57,3.1202349268863753e-55
7,SOX6,22.024933,4.967532,3.0059688242812983e-47,1.471689394244022e-45
8,PDE4D,21.803637,2.9112413,1.1573972505307123e-47,5.785367515240232e-46
9,PRKG1,21.469614,2.3301592,1.2897064080358743e-47,6.401959308778076e-46
10,DACH1,19.364223,4.767695,2.2704299128896842e-41,9.06649889236618e-40
11,PWRN1,18.88081,7.5067964,4.316468784971605e-40,1.6588235954288728e-38
12,ADAMTS2,18.41385,3.7136788,2.8800763922241003e-39,1.0703701586629742e-37
13,TNS3,18.29565,4.242584,6.521958931755268e-39,2.3866363026034122e-37
14,HGF,18.04538,6.082091,3.524722520683133e-38,1.2411190432434992e-36
15,GNA14,18.04103,4.292634,2.63117829453406e-38,9.32611361123775e-37
16,RELN,17.906631,7.633421,7.971379878048907e-38,2.7749719172870255e-36
17,FGFR2,17.656643,6.188089,2.90971909699431e-37,9.857190571239493e-36
18,EHBP1,17.218443,2.607593,1.0430967842255731e-36,3.4465589277246827e-35
19,ARHGAP15,16.794441,4.5044107,2.795612580298257e-35,8.675704221695488e-34
20,ADAMTS13,16.751858,7.70807,4.4954915787816377e-35,1.3712847996499778e-33
21,HMCN1,16.660984,3.2007093,3.6140771484616875e-35,1.1135096317760407e-33
22,TANC1,16.412582,3.5925503,1.951126215138026e-34,5.8191864474853723e-33
23,MASP1,16.375612,6.603977,3.550262041057984e-34,1.0457667473687831e-32
24,AF165147.1,16.167955,4.9915814,9.920849061622031e-34,2.878791438124801e-32
25,CXCL12,15.742023,4.8989444,1.1429761333012103e-32,3.1625780906466005e-31
26,MYO10,15.346421,4.1322255,9.838538720174079e-32,2.604662028585345e-30
27,ADGRL2,15.316914,2.805408,7.288282957786552e-32,1.9463255261117664e-30
28,IGFBP7,15.182669,3.189752,1.7773525677104927e-31,4.670777997792133e-30
29,GRK5,14.955827,2.7290766,6.077628715272725e-31,1.553381050897596e-29
30,ANKS1A,14.860581,4.2458396,1.688009836557006e-30,4.213932821318794e-29
31,PCDH9,14.829678,3.3470836,1.501900233935955e-30,3.771282039405459e-29
32,ITGA1,14.719766,3.327594,3.0902945042230134e-30,7.590867737520996e-29
33,COL25A1,14.366523,6.5243454,3.327758308700736e-29,7.73974502947707e-28
34,ZEB2,14.359274,2.201995,1.5577728551231883e-29,3.6830078396098843e-28
35,EPAS1,14.357582,4.2582707,3.138458050671307e-29,7.315336352021251e-28
36,PTH1R,14.283941,6.310567,5.350511326670698e-29,1.2350523669443104e-27
37,IGFBP3,14.147372,6.1066256,1.1730065780495034e-28,2.6450003217343377e-27
38,ADAMTS12,14.083748,3.5438006,1.3523372801981807e-28,3.0334226607290573e-27
39,ADAMTSL1,13.976636,2.9537368,2.0602962983543945e-28,4.5830906454265185e-27
40,SORBS1,13.886051,2.8675468,3.653177826779724e-28,8.034743109483529e-27
41,SEMA5A,13.874771,3.6405118,4.773164653298008e-28,1.0412588283349186e-26
42,RIPOR3,13.593673,3.5417042,2.474832951344655e-27,5.208078293290951e-26
43,HAND2-AS1,13.545253,5.3281994,3.88240921555958e-27,8.090804977498506e-26
44,FRMD4A,13.334989,3.091207,1.0513389649655714e-26,2.145091604635748e-25
45,SAMD5,13.109105,5.3691382,5.023932862746281e-26,9.856652910222438e-25
46,ADAMTSL2,13.089206,6.298874,5.762983565062517e-26,1.1285974389881333e-24
47,VIPR1,13.014708,8.347828,9.067486568019517e-26,1.758075786298468e-24
48,HHIP,12.945566,5.480601,1.310026518690114e-25,2.5059954207663517e-24
49,NRP1,12.530407,2.7745767,1.1857926823179394e-24,2.1512807343169112e-23
50,TLCD4,12.529544,6.651932,1.5646669355452641e-24,2.8101103656476254e-23
51,CDH2,12.413821,5.5268593,3.0543683873985617e-24,5.399659991704432e-23
52,FIGN,12.323732,2.7222602,4.0899817284206376e-24,7.194878440053499e-23
53,NEURL1B,12.219564,5.0012474,9.504269378337835e-24,1.6476115808332784e-22
54,CALD1,12.056645,1.7922385,1.3939361562870004e-23,2.3932399467909076e-22
55,GATA4,11.926883,6.7539487,5.526694967900799e-23,9.144633247813638e-22
56,GPM6A,11.914829,5.7609954,5.847106914238907e-23,9.652452707385612e-22
57,GPC6,11.912386,1.8647728,3.1008456478795207e-23,5.211170381906618e-22
58,ANO3,11.911346,6.1129217,6.014046333720034e-23,9.91277552500326e-22
59,COLEC10,11.894759,7.4417567,6.704420293846457e-23,1.0999968537203016e-21
60,NR2F1-AS1,11.849685,2.5353928,6.786407082593864e-23,1.1125971978527738e-21
61,AGTR1,11.832344,4.7307954,9.325974779649582e-23,1.5196519998085534e-21
62,PSD3,11.558216,2.1561658,3.500656280713591e-22,5.531914022374521e-21
63,AL355612.1,11.405741,4.649422,1.1690929542521122e-21,1.7856146232893372e-20
64,ST5,11.342207,2.618331,1.4395060416265212e-21,2.189274294797101e-20
65,ZFPM2-AS1,11.252071,2.9729404,2.6317298687637134e-21,3.913648772938216e-20
66,COL27A1,11.234928,3.4944837,3.0328957060519133e-21,4.49774657818653e-20
67,PDE1A,10.995146,2.307991,1.0641389184516133e-20,1.525360626154839e-19
68,CHST15,10.989629,3.8307586,1.3403860411898602e-20,1.9060502829758199e-19
69,PAG1,10.967245,3.174951,1.4548418618234696e-20,2.063335243713127e-19
70,ADGRB3,10.961709,2.272115,1.2524943178221606e-20,1.7869918929726157e-19
71,IFITM10,10.9348135,7.8381968,1.96273389271348e-20,2.763549940600648e-19
72,ITGA9-AS1,10.919305,3.6370952,2.008570484294052e-20,2.8262326420735987e-19
73,ZFPM2,10.893667,1.3216157,1.3935767811015442e-20,1.9777538381165793e-19
74,CCDC3,10.792755,4.5533,4.396481836597627e-20,6.059007487403567e-19
75,SEMA6D,10.725223,4.7061424,6.589344767992854e-20,8.977249631819489e-19
76,LRRC4C,10.625,4.119573,1.172960645607306e-19,1.5730436575611677e-18
77,SGCZ,10.594112,4.6456676,1.418292518312759e-19,1.892586481810753e-18
78,EXT1,10.575166,1.5915248,1.098123850834803e-19,1.4754491138660098e-18
79,ADRA1B,10.487064,5.611199,2.723670071388928e-19,3.574441922329508e-18
80,LINC02398,10.271806,5.1430616,9.613834380234686e-19,1.2155605215197677e-17
81,CRIM1,10.263481,2.7923317,9.2098588186534e-19,1.1665458506036828e-17
82,COLEC11,10.241196,6.5105524,1.1646726456155741e-18,1.4605403633087936e-17
83,ETS1,10.240535,3.5546207,1.1170526893565128e-18,1.4032851710932078e-17
84,BMPER,10.21322,4.1792436,1.3296575089639943e-18,1.6625758380305478e-17
85,SYTL2,10.178823,3.7985644,1.6157715611220349e-18,2.0132832862696638e-17
86,ARHGAP42,10.156029,2.8397045,1.74906233493496e-18,2.1743126208895815e-17
87,SYT1,10.109385,5.0425944,2.4970370674814833e-18,3.070324706139503e-17
88,SLCO3A1,10.084756,2.1299016,2.438981585182573e-18,3.000660993267647e-17
89,INPP4B,10.081355,3.3885903,2.8087918200649865e-18,3.4457512465373895e-17
90,MBP,10.073792,2.8477414,2.8436222024759117e-18,3.4864856780956805e-17
91,ST6GAL2,10.067451,5.758342,3.216886851787592e-18,3.921712430342986e-17
92,ASAP1,9.931193,1.8545158,5.73373074108418e-18,6.868945363788221e-17
93,AC012409.2,9.884673,3.5819206,9.048212003475343e-18,1.0725807529161154e-16
94,FARP1,9.872316,2.600188,9.116992899221741e-18,1.0801369929884587e-16
95,PDE3A,9.818825,2.0433018,1.139355807507046e-17,1.3409630041811797e-16
96,MAP2,9.747625,4.226731,2.047808784547601e-17,2.3634667155995025e-16
97,RHOBTB1,9.718898,3.6843662,2.396350496227563e-17,2.749456395992716e-16
98,KANK1,9.653841,2.104391,3.1007913308572145e-17,3.531246378061716e-16
99,RAPGEF5,9.618919,4.030577,4.3260491157713526e-17,4.887660549978973e-16
100,AC024901.1,9.605871,4.7363276,4.729225761159756e-17,5.326340190247364e-16
101,MYH10,9.520531,2.907578,7.370627513124461e-17,8.236359374228293e-16
102,MAP4K3-DT,9.510065,3.245737,7.961964548705219e-17,8.88326575350857e-16
103,MIR503HG,9.505624,5.7065616,8.544315515693954e-17,9.513203630246165e-16
104,GUCY1A1,9.436136,3.3338962,1.2264805817412876e-16,1.3501360161632533e-15
105,GUCY1A2,9.331162,3.2620897,2.25217295909622e-16,2.439171562366633e-15
106,CADM2,9.321231,3.3564522,2.374935214616758e-16,2.566941065637185e-15
107,BMPR1B,9.236697,4.14398,3.999882425377133e-16,4.252527453137691e-15
108,EPS8,9.218597,2.200963,4.0447699123044677e-16,4.298119226930476e-15
109,NR2F2-AS1,9.157475,1.9087434,5.482614140388914e-16,5.7915851047536884e-15
110,BGN,9.151776,3.3976479,6.382252601784475e-16,6.7023028791707285e-15
111,AC083870.1,9.145206,2.757833,6.488270521130023e-16,6.806970306023102e-15
112,PDE8B,9.142428,4.987015,6.955319717854779e-16,7.272056364196875e-15
113,CARMN,9.130339,2.7937331,7.002944059123133e-16,7.314716629509813e-15
114,KIAA1217,9.117697,2.5479755,7.47967306343354e-16,7.805066139769773e-15
115,PXDN,9.041483,2.9711125,1.1953557758240352e-15,1.2229584569069948e-14
116,CHSY3,9.035311,2.5650377,1.2003547687302278e-15,1.2263176589161984e-14
117,EDNRB,8.941637,5.533541,2.2165712673548155e-15,2.231556537894679e-14
118,RBP1,8.919421,6.054327,2.522098106507126e-15,2.5261033066762638e-14
119,HS3ST3B1,8.84498,4.9948177,3.840642049410502e-15,3.805856197206969e-14
120,BMP5,8.822345,4.6982274,4.345282961330171e-15,4.288092398654587e-14
121,CAMK1D,8.796072,2.164356,4.6591513678281915e-15,4.585169432386771e-14
122,ABLIM2,8.753754,4.9182286,6.462746154930447e-15,6.296552864440186e-14
123,ARHGAP24,8.691007,1.8527324,8.190275832330338e-15,7.922069235385285e-14
