,names,scores,logfoldchanges,pvals,pvals_adj
0,CDH11,64.989174,4.0060334,0.0,0.0
1,RUNX1,64.759056,4.2753353,0.0,0.0
2,COL1A1,62.191074,4.287859,0.0,0.0
3,VMP1,57.872005,2.5697596,0.0,0.0
4,COL1A2,53.117756,2.688736,0.0,0.0
5,TNS3,50.513702,4.5062094,0.0,0.0
6,CALD1,49.9176,2.3100402,0.0,0.0
7,KIF26B,48.08004,4.9870586,0.0,0.0
8,COL3A1,48.079933,2.4922411,0.0,0.0
9,COL5A1,46.93153,2.7939067,0.0,0.0
10,ETV6,44.156082,2.6707573,4.09143270536015e-310,1.7203271163479024e-307
11,POSTN,43.337994,4.9934936,1.5849559121479026e-282,6.179599014563567e-280
12,FAP,40.815834,3.4100158,4.1613060374327776e-265,1.3728468717955152e-262
13,SIPA1L1,40.241505,2.9350817,4.942520136081167e-263,1.5360493014220948e-260
14,RASAL2,40.21907,2.6835265,1.8030744518679017e-266,6.23631105578311e-264
15,ACTN1,40.042057,3.5115902,9.453152243630037e-257,2.855118263554965e-254
16,GLIS3,39.860424,2.6895862,2.9714560297875838e-263,9.510433298920142e-261
17,MYH9,39.806595,3.1387467,1.1553321500728151e-256,3.4409642536335345e-254
18,SPARC,39.606197,3.3508558,4.9129329919653456e-253,1.3862228299961166e-250
19,AOPEP,39.27345,1.9433712,7.533947437895228e-270,2.6926328143037545e-267
20,RAI14,39.06738,3.5250192,5.799193370237355e-247,1.5741506662198716e-244
21,XAF1,38.9163,2.6719356,1.2301868173614831e-253,3.517350148199953e-251
22,SPATS2L,38.532745,2.4051945,8.125754967334145e-252,2.262969993759914e-249
23,IGFBP7,38.43434,2.8006587,2.2718412289066038e-247,6.245815809317078e-245
24,TIMP1,37.697556,4.225945,5.709485559063533e-231,1.4236535852157953e-228
25,MICAL2,37.191833,3.653124,4.3957369643160904e-228,1.0591256568853285e-225
26,MIR4435-2HG,36.870926,3.2257671,1.1071668699836442e-226,2.609020479113106e-224
27,PLOD2,36.849716,2.8681967,9.441325140309524e-229,2.3006792762363344e-226
28,MT-CO2,36.6975,3.3870084,1.1875947212444414e-226,2.7681283915615e-224
29,MAGI1,36.681206,3.1290236,8.738255919339897e-226,1.9934378716417524e-223
30,C2orf27A,36.579575,3.533644,1.2608102148605973e-222,2.703681424747065e-220
31,MT-ND3,36.39984,3.3360288,4.109535107001213e-223,8.901502104498385e-221
