,names,scores,logfoldchanges,pvals,pvals_adj
0,IL18R1,19.49495,7.1999283,2.1669816486944236e-33,6.526510459916182e-32
1,SLC24A3,18.29164,7.783214,1.978979175280278e-31,5.318587527970948e-30
2,KIT,16.652046,8.154302,1.1522776848545324e-28,2.668406336287321e-27
3,FER,11.748555,3.2675831,1.0583201203356328e-19,1.4529204007988035e-18
4,SLC18A2,11.124773,7.321208,2.4436930040104813e-18,3.046660045232602e-17
5,TNIK,10.869763,3.7114654,6.881299915740438e-18,8.365226496209636e-17
6,HDC,9.945063,7.391189,5.842968381787387e-16,6.215109820389322e-15
7,SMYD3,9.741762,2.9263527,1.2598048973231867e-15,1.303825107055908e-14
8,STXBP5,9.471202,3.2053828,4.784643702137531e-15,4.7238443622761154e-14
9,SYTL3,9.1769495,3.9771342,2.0252982867057003e-14,1.899016023616836e-13
10,MCTP2,8.773159,4.5095434,1.3792506712620455e-13,1.2206624595354232e-12
11,AC068587.4,8.385023,3.875029,8.41611108431772e-13,6.976230618171983e-12
12,CDK15,8.352238,7.509224,1.0198842134237987e-12,8.382674232525849e-12
13,GRAP2,8.155982,6.645345,2.5445612989272366e-12,2.024696567502622e-11
14,GATA2,8.017846,7.4762115,4.855185476455448e-12,3.777743010054812e-11
15,SKAP1,8.008493,5.165417,5.014921432750757e-12,3.8992014214614665e-11
16,NTM,7.9282894,5.503013,7.311532045565802e-12,5.6136231000756555e-11
17,LINC02147,7.8339577,4.3390718,1.116159496632083e-11,8.451597544413273e-11
18,KIAA1549,7.830956,5.678677,1.151429911705019e-11,8.697169082987822e-11
19,IL1RL1,7.6358914,6.226814,2.8525970548814394e-11,2.0849042687415674e-10
20,FOXP1,7.6118937,1.7356653,2.73154335073525e-11,2.002571473954417e-10
21,PARP4,7.334481,2.3082416,1.0632300447196494e-10,7.319391678641463e-10
22,RGS13,7.248305,6.553849,1.701290440438636e-10,1.1479695470348052e-09
23,PRKCA,7.1574464,2.4447742,2.4129256347088514e-10,1.5965065507774332e-09
24,ADAM12,7.0806613,5.701885,3.6524830026095634e-10,2.377051456994218e-09
25,CADPS,6.8455663,6.0002666,1.063676268097815e-09,6.6056976232521125e-09
26,TESPA1,6.72093,6.1569586,1.8666896542697816e-09,1.135582778614502e-08
27,RHOH,6.689963,3.891038,2.117584721035886e-09,1.2816677041460214e-08
28,AKAP13,6.626806,1.4337646,2.50646046187924e-09,1.506405217055449e-08
29,MEIS2,6.600072,3.7722356,3.173601425104841e-09,1.885171993350366e-08
30,CD69,6.537067,4.884163,4.237881300285579e-09,2.482981601183715e-08
