,names,scores,logfoldchanges,pvals,pvals_adj
0,PDE4D,36.85936,3.1363678,1.011116469862675e-256,2.1682381579735201e-252
1,EMP1,34.088776,3.6681027,3.5654420915911444e-216,3.822867010604025e-212
2,MAMDC2,32.876556,3.4626799,1.575082577897307e-206,1.125869026680995e-202
3,AUTS2,29.19701,2.5445907,1.2475369692095604e-170,4.458697127954969e-167
4,ZBTB16,28.075361,2.322057,1.4916190892194496e-159,4.5694685356031257e-156
5,F13A1,27.321245,2.4760299,6.963300511434035e-153,1.6591224018576826e-149
6,PTPRG,26.96369,3.4722667,1.67552214190449e-143,3.592989681099988e-140
7,SOX5,24.8019,3.2730024,9.338733643378971e-124,1.0012990212430933e-120
8,FOS,24.760393,2.1501825,4.883422065729634e-126,6.545006423594142e-123
9,LMNA,24.627464,2.5561051,3.106499670978669e-123,3.172179949736504e-120
10,NAV2,24.532642,2.3376863,6.056677812132563e-124,6.8357578422826674e-121
11,FKBP5,24.504835,1.7123119,3.553111205110809e-125,4.232939815688677e-122
12,SPARCL1,24.130224,3.4463446,1.604394279625215e-117,1.3232550358570427e-114
13,ABCA6,23.405794,2.9561813,3.4453184892301377e-112,2.383271280098422e-109
14,FBXL7,23.283262,3.724163,1.0176102654929027e-109,6.418127803891119e-107
15,MAN1A1,23.118227,1.712227,7.839532005269266e-112,5.2534663850310675e-109
16,ABLIM1,22.882006,3.2394526,7.502630534623689e-107,4.125292543191548e-104
17,TGFBR3,22.719444,3.16175,1.6496428070046747e-105,8.422604846049582e-103
18,LHFPL6,22.531134,2.8862977,1.8165513688027546e-104,8.853210807410515e-102
19,FGF14,22.238638,4.842514,2.994345115636527e-100,1.2842147331941937e-97
20,KLF9,22.183067,2.3733392,5.4526403239417924e-102,2.4359670647209955e-99
21,ZFPM2,21.794804,3.462418,1.8136617453750916e-97,6.945029012111333e-95
22,EBF1,21.757517,3.6730258,3.9273509372661124e-97,1.4775107631356931e-94
23,ANXA1,21.60853,1.9991655,8.539472552241286e-98,3.391119433523373e-95
24,FOSB,21.532923,3.0049052,6.9306750218676595e-96,2.5624378477401737e-93
25,RORA,21.488455,2.5533493,7.31522468648524e-96,2.6587742063896524e-93
26,FBN1,21.48712,3.3737898,5.2142058882671996e-95,1.863557184466697e-92
27,PDZRN4,21.377132,4.4874277,1.7639954335973648e-93,5.910487199697171e-91
28,LAMA2,21.123528,2.8399775,2.480837444672847e-92,8.184473563625313e-90
29,LDB2,20.939955,3.459892,9.860958189436873e-91,3.109682167857122e-88
30,MPPED2,20.831406,1.938968,1.002953574112353e-91,3.258687339888681e-89
31,NFIB,20.831406,3.2877514,6.090876970650465e-90,1.8396164191356137e-87
32,EGFR,20.754313,3.2140012,2.1525232075037067e-89,6.32311063859034e-87
33,DUSP1,20.55691,1.8664331,1.9258315781898904e-89,5.73576838370889e-87
34,DCN,20.496492,2.7563531,6.397465136970147e-88,1.80509529469984e-85
